Virus,12,7200,2800
Virus,20,10400,2800
Virus,21,10800,1200
Virus,38,15200,1200
Virus,57,17600,2400
Dog,60,18800,400
Virus,79,20800,400
Virus,79,20800,3600
Virus,109,29600,2400
Virus,109,29600,2800
Dog,118,31200,800
Virus,119,31200,2000
Dog,123,32000,3200
Virus,129,34000,1600
Virus,129,34000,2000
Virus,129,34000,2400
Dog,130,34400,1600
Virus,143,36000,2800
Virus,145,36000,2800
Virus,166,39600,1600
Virus,167,39600,1200
VIrus,175,42000,1200
Dog,177,42000,2800
Virus,185,43600,800
Dog,210,46000,0
Dog,210,46000,1200
Dog,210,46000,3600
Virus,244,52400,0
Virus,247,52400,3200
Dog,253,54000,1600
Virus,257,55200,2400
